,Name,Prices,Page,Format,Language,Pub Date,Publisher,Author,Dimensions,Categories
517,Oreo,13.90,240,Paperback,English,"July 07, 2015",New Directions Publishing Corporation,Fran Ross,5.4 X 8.0 X 0.7 inches | 0.6 pounds,African American - Women   Satire   
518,HBR Guide to Getting the Mentoring You Need (HBR Guide Series),18.55,176,Paperback,English,"January 01, 2014",Ingrid Cooper,Harvard Business Review,5.0 X 8.9 X 0.5 inches | 0.45 pounds,Careers - General   Skills   Mentoring & Coaching   Leadership   
519,Big Yum: Supersized Cookies for Over-The-Top Cravings,22.31,144,Paperback,English,"September 19, 2023",Page Street Publishing,Chloe Joy Sexton,7.75 X 9.0 X 1.0 inches | 1.0 pounds,Methods - Baking   Courses & Dishes - Cookies   Courses & Dishes - Desserts   
520,Martyr!,26.04,352,Hardcover,English,"January 23, 2024",Knopf Publishing Group,Kaveh Akbar,0.0 X 0.0 X 0.0 inches | 1.25 pounds,Literary   Family Life - General   LGBT - General   
521,Daisy Jones & the Six,15.81,400,Paperback,English,"February 04, 2020",Ballantine Books,Taylor Jenkins Reid,5.2 X 8.0 X 1.1 inches | 0.62 pounds,Women   Sagas   Literary   
522,The Real Rfk Jr.: Trials of a Truth Warrior,30.23,384,Hardcover,English,"June 20, 2023",Skyhorse Publishing,Dick Russell,6.0 X 9.0 X 0.83 inches | 1.27 pounds,Lawyers & Judges   Environmentalists & Naturalists   Social Activists   Vaccinations   Environmental   Health   Life Sciences - Virology   Disease & Health Issues   
523,The Personal Librarian,15.81,352,Paperback,English,"June 07, 2022",Berkley Books,Marie Benedict,5.4 X 8.1 X 1.0 inches | 0.7 pounds,Biographical   African American - Women   Historical - General   
524,My Year of Rest and Relaxation,15.81,304,Paperback,English,"June 25, 2019",Penguin Books,Ottessa Moshfegh,5.0 X 7.7 X 0.8 inches | 0.48 pounds,Literary   Women   Humorous - Black Humor   
525,The Man Who Died Twice: A Thursday Murder Club Mystery,16.74,400,Paperback,English,"July 26, 2022",Penguin Books,Richard Osman,5.4 X 8.0 X 0.9 inches | 0.65 pounds,Mystery & Detective - Amateur Sleuth   
526,Smitten Kitchen Keepers: New Classics for Your Forever Files: A Cookbook,32.55,320,Hardcover,English,"November 15, 2022",Knopf Publishing Group,Deb Perelman,8.2 X 9.2 X 1.1 inches | 2.5 pounds,Regional & Ethnic - American - General   Courses & Dishes - Desserts   Specific Ingredients - Vegetables   
527,Women Talking,15.81,240,Paperback,English,"March 03, 2020",Bloomsbury Publishing,Miriam Toews,5.4 X 8.2 X 0.8 inches | 0.55 pounds,Literary   Women   Amish & Mennonite   Religious - General   
528,Throne of Glass,17.67,432,Paperback,English,"February 14, 2023",Bloomsbury Publishing,Sarah J. Maas,5.5 X 8.2 X 1.2 inches | 0.7 pounds,Romance - General   Action & Adventure - General   Fantasy - Epic   Action & Adventure - General   Love & Romance   Fantasy & Magic   Royalty   Fantasy - Epic   Fantasy - Paranormal   Fantasy - Romantic   Romance - Fantasy   
529,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",9.29,512,Mass Market Paperbound,English,"November 28, 2006",William Morrow & Company,Terry Pratchett,4.1 X 6.6 X 1.4 inches | 0.55 pounds,"Humorous - General   Religious - General   Christian - Fantasy   Fantasy - Humorous   Occult & Supernatural   Science Fiction - Apocalyptic & Post-Apocalyptic   Fantasy - Paranormal   Fantasy - Dark Fantasy   Fairy Tales, Folk Tales, Legends & Mythology   Satire   "
530,The Only One Left,26.04,400,Hardcover,English,"June 20, 2023",Dutton,Riley Sager,6.2 X 9.1 X 1.4 inches | 1.35 pounds,Gothic   Thrillers - Suspense   
531,Emily Wilde's Encyclopaedia of Faeries: Book One of the Emily Wilde Series,26.04,336,Hardcover,English,"January 10, 2023",Del Rey Books,Heather Fawcett,5.7 X 8.4 X 1.1 inches | 0.88 pounds,"Fantasy - Romantic   Fantasy - Action & Adventure   Fairy Tales, Folk Tales, Legends & Mythology   "
532,We Don't Know Ourselves: A Personal History of Modern Ireland,29.76,624,Hardcover,English,"March 15, 2022",Liveright Publishing Corporation,Fintan O'Toole,6.45 X 9.71 X 1.56 inches | 2.22 pounds,"Political   Editors, Journalists, Publishers   Europe - Ireland   Social History   World - European   "
533,The Story of Art Without Men,41.85,512,Hardcover,English,"May 02, 2023",W. W. Norton & Company,Katy Hessel,6.4 X 9.5 X 1.3 inches | 2.75 pounds,Women Artists   History - General   Women   Women's Studies   
534,Unreasonable Hospitality: The Remarkable Power of Giving People More Than They Expect,26.97,288,Hardcover,English,"October 25, 2022",Optimism Press,Will Guidara,6.3 X 9.0 X 1.3 inches | 1.0 pounds,"Culinary   Management - General   Industries - Hospitality, Travel & Tourism   Customer Relations   Leadership   Workplace Culture   "
535,A Living Remedy: A Memoir,27.89,256,Hardcover,English,"April 04, 2023",Ecco Press,Nicole Chung,5.81 X 8.52 X 1.13 inches | 0.74 pounds,"Cultural, Ethnic & Regional - Asian & Asian American   Women   Personal Memoirs   "
536,The Power,15.80,400,Paperback,English,"January 08, 2019",Back Bay Books,Naomi Alderman,5.5 X 8.1 X 1.1 inches | 0.75 pounds,Science Fiction - Apocalyptic & Post-Apocalyptic   Dystopian   Coming of Age   Literary   Women   Feminist   
537,The Korean Vegan Cookbook: Reflections and Recipes from Omma's Kitchen,32.55,336,Hardcover,English,"October 12, 2021",Avery Publishing Group,Joanne Lee Molinaro,8.2 X 10.1 X 1.1 inches | 2.8 pounds,Specific Ingredients - Vegetables   Regional & Ethnic - Korean   Vegan   
538,Six Seasons: A New Way with Vegetables,37.20,384,Hardcover,English,"May 02, 2017",Artisan Publishers,Joshua McFadden,7.9 X 10.4 X 1.6 inches | 3.34 pounds,Individual Chefs & Restaurants   Specific Ingredients - Vegetables   Courses & Dishes - General   Seasonal   
539,"White Cat, Black Dog: Stories",25.11,272,Hardcover,English,"March 28, 2023",Random House,Kelly Link,5.85 X 8.49 X 0.9 inches | 0.88 pounds,Fantasy - Contemporary   Literary   Short Stories (single author)   
540,Love and Lemons Simple Feel Good Food: 125 Plant-Focused Meals to Enjoy Now or Make Ahead,32.55,272,Hardcover,English,"April 25, 2023",Avery Publishing Group,Jeanine Donofrio,8.11 X 10.08 X 1.02 inches | 2.45 pounds,Methods - Quick & Easy   Specific Ingredients - Vegetables   Vegetarian   
541,Cassandra in Reverse: A Reese's Book Club Pick (Original),27.90,368,Hardcover,English,"June 06, 2023",Mira Books,Holly Smale,5.67 X 9.06 X 1.34 inches | 1.1 pounds,Science Fiction - Time Travel   Women   Family Life - Siblings   Humorous - General   Friendship   Magical Realism   
542,Such Kindness,27.85,336,Hardcover,English,"June 06, 2023",W. W. Norton & Company,Andre Dubus,6.41 X 9.61 X 1.05 inches | 1.14 pounds,Literary   Psychological   Family Life - General   
543,Nevada,15.81,288,Paperback,English,"June 07, 2022",MCD X Fsg Originals,Imogen Binnie,5.06 X 7.52 X 0.77 inches | 0.48 pounds,Literary   LGBT - Transgender   
544,Punished for Dreaming: How School Reform Harms Black Children and How We Heal,26.97,352,Hardcover,English,"September 12, 2023",St. Martin's Press,Bettina L. Love,5.38 X 8.25 X 1.0 inches | 1.0 pounds,"Cultural, Ethnic & Regional - African American & Black   Educational Policy & Reform   Behavioral Management   Ethnic Studies - African American Studies   Discrimination & Race Relations   Race & Ethnic Relations   Student Life & Student Affairs   "
545,All the Pretty Horses: Border Trilogy (1),15.76,320,Paperback,English,"June 29, 1993",Vintage,Cormac McCarthy,5.15 X 7.95 X 0.7 inches | 0.52 pounds,Literary   Media Tie-In - General   Westerns - General   Sagas   
546,Scattered All Over the Earth,15.76,256,Paperback,English,"March 01, 2022",New Directions Publishing Corporation,Yoko Tawada,5.1 X 8.0 X 0.6 inches | 0.5 pounds,Literary   Dystopian   World Literature - Japan   Nature & the Environment   
547,Dining in: Highly Cookable Recipes: A Cookbook,30.23,304,Hardcover,English,"October 24, 2017",Clarkson Potter Publishers,Alison Roman,8.2 X 1.0 X 10.1 inches | 2.78 pounds,Courses & Dishes - General   
548,The LGBTQ + History Book,26.03,336,Hardcover,English,"May 09, 2023",DK Publishing (Dorling Kindersley),DK,7.9 X 9.3 X 1.0 inches | 2.45 pounds,Reference   LGBT Studies - General   LGBTQ+   
549,A Line in the Sand,26.97,368,Hardcover,English,"May 16, 2023",Little Brown and Company,Kevin Powers,6.3 X 9.3 X 1.2 inches | 1.25 pounds,Mystery & Detective - General   Thrillers - Suspense   Thrillers - Political   Mystery & Detective - Amateur Sleuth   
550,More Than Cake: 100 Baking Recipes Built for Pleasure and Community,37.20,320,Hardcover,English,"April 11, 2023",Artisan Publishers,Natasha Pickowicz,8.39 X 10.25 X 1.11 inches | 2.85 pounds,Methods - Baking   Courses & Dishes - Cakes   Courses & Dishes - Pastry   
551,Cook This Book: Techniques That Teach and Recipes to Repeat: A Cookbook,30.23,304,Hardcover,English,"April 20, 2021",Clarkson Potter Publishers,Molly Baz,8.4 X 10.4 X 1.1 inches | 3.0 pounds,Methods - Quick & Easy   Courses & Dishes - General   Reference   
552,The Jakarta Method: Washington's Anticommunist Crusade and the Mass Murder Program That Shaped Our World,17.66,352,Paperback,English,"April 27, 2021",PublicAffairs,Vincent Bevins,5.4 X 8.0 X 1.0 inches | 0.7 pounds,Genocide & War Crimes   Latin America - South America   Asia - Southeast Asia   United States - 20th Century   Intelligence & Espionage   
553,Elite Capture: How the Powerful Took Over Identity Politics (and Everything Else),15.76,168,Paperback,English,"May 03, 2022",Haymarket Books,Olúfẹ́mi O Táíwò,5.2 X 7.4 X 0.6 inches | 0.4 pounds,Civil Rights   Political Ideologies - Radicalism   Discrimination & Race Relations   Anthropology - Cultural & Social   Social Classes & Economic Disparity   
554,Impossible People: A Completely Average Recovery Story,27.90,320,Hardcover,English,"May 09, 2023",Black Dog & Leventhal Publishers,Julia Wertz,7.8 X 9.5 X 1.3 inches | 2.75 pounds,Literary   Humorous   Substance Abuse & Addictions - Alcohol   Nonfiction - Biography & Memoir   General   
555,George: A Magpie Memoir,26.04,272,Hardcover,English,"June 06, 2023",Avid Reader Press / Simon & Schuster,Frieda Hughes,6.04 X 8.57 X 0.99 inches | 0.79 pounds,Personal Memoirs   Animals - Birds   Birds   
556,What We Don't Talk about When We Talk about Fat,14.83,208,Paperback,English,"November 16, 2021",Beacon Press,Aubrey Gordon,5.98 X 8.98 X 0.63 inches | 0.66 pounds,Feminism & Feminist Theory   Anthropology - Cultural & Social   Nutrition   Personal Memoirs   
557,The Prophet,14.88,128,Hardcover,English,"January 15, 2019",Penguin Group,Kahlil Gibran,5.3 X 7.8 X 0.6 inches | 0.52 pounds,"General   Mysticism   American - General   Mysticism   Judaism - General   Subjects & Themes - Inspirational & Religious   Middle Eastern   Literary   Visionary & Metaphysical   Inspiration & Personal Growth   History & Surveys - Medieval   Essays   Classics   Religious   Spirituality   Inspirational   Spiritualism - General   Eastern   Philosophy   Spiritual   Individual Artists - Artists' Books   Eastern   Mind & Body   Asian - Indic   Ancient & Classical   Subjects & Themes - Love & Erotica   Christian Living - Inspirational   Fairy Tales, Folk Tales, Legends & Mythology   Subjects & Themes - General   "
558,Rise: A Pop History of Asian America from the Nineties to Now,26.96,496,Hardcover,English,"March 01, 2022",Harper,Jeff Yang,7.4 X 9.3 X 1.2 inches | 3.25 pounds,Popular Culture   Social History   Ethnic Studies - Asian American Studies   Ethnic Studies - Asian Studies   
559,The Mountain in the Sea,16.74,464,Paperback,English,"May 30, 2023",Picador USA,Ray Nayler,5.39 X 8.25 X 1.21 inches | 0.88 pounds,Literary   Science Fiction - General   Thrillers - Technological   
560,Titanium Noir,26.04,256,Hardcover,English,"May 16, 2023",Knopf Publishing Group,Nick Harkaway,6.3 X 9.3 X 1.3 inches | 1.05 pounds,Science Fiction - General   Thrillers - General   Dystopian   Mystery & Detective - General   
561,While Justice Sleeps: A Thriller,15.81,480,Paperback,English,"April 12, 2022",Anchor Books,Stacey Abrams,5.1 X 7.8 X 1.4 inches | 0.8 pounds,Thrillers - Suspense   Thrillers - Legal   Thrillers - Political   
562,"Day Trips Around Rochester, New York: Your guide to exploring within two hours of Rochester and the Finger Lakes region.",13.94,234,Paperback,English,"March 31, 2023",Gevany Publishing,Debi Bower,5.5 X 8.5 X 0.49 inches | 0.61 pounds,"United States - Northeast - Middle Atlantic (NJ, NY, PA)   "
563,Holding Pattern,26.04,288,Hardcover,English,"June 20, 2023",Riverhead Books,Jenny Xie,6.12 X 8.59 X 1.0 inches | 0.86 pounds,Literary   Women   Family Life - General   
564,"The Male Gazed: On Hunks, Heartthrobs, and What Pop Culture Taught Me about (Desiring) Men",24.18,208,Hardcover,English,"May 30, 2023",Catapult,Manuel Betancourt,6.2 X 9.0 X 0.9 inches | 0.95 pounds,"Cultural, Ethnic & Regional - Hispanic & Latino   LGBT   Form - Essays   LGBT Studies - Gay Studies   "
565,Bookshops & Bonedust,16.72,352,Paperback,English,"November 07, 2023",Tor Books,Travis Baldree,0.0 X 0.0 X 0.0 inches | 0.0 pounds,Fantasy - Romantic   Fantasy - Gaslamp   
566,"Hey, Hun: Sales, Sisterhood, Supremacy, and the Other Lies Behind Multilevel Marketing",25.10,384,Hardcover,English,"May 30, 2023",Row House Publishing,Emily Lynn Paulson,6.06 X 9.06 X 1.34 inches | 1.4 pounds,Cults   Feminism & Feminist Theory   Conspiracy Theories   Industries - Retailing   
567,Leg: The Story of a Limb and the Boy Who Grew from It,26.04,304,Hardcover,English,"June 13, 2023",Abrams Press,Greg Marshall,5.75 X 8.35 X 1.02 inches | 0.74 pounds,LGBT   People with Disabilities   Form - Essays   
568,Experiencing Olmsted: The Enduring Legacy of Frederick Law Olmsted's North American Landscapes,46.50,344,Hardcover,English,"October 11, 2022",Timber Press (OR),Charles Birnbaum,8.58 X 10.08 X 1.18 inches | 3.05 pounds,"Landscape   United States - 19th Century   Museums, Tours, Points of Interest   Landscape   "
569,The Book of Cocktail Ratios: The Surprising Simplicity of Classic Cocktails,27.90,288,Hardcover,English,"May 23, 2023",Scribner Book Company,Michael Ruhlman,5.7 X 8.2 X 1.3 inches | 1.35 pounds,Beverages - Alcoholic - Bartending   Entertaining - General   Beverages - Alcoholic- General   
570,Meet Us by the Roaring Sea,25.11,304,Hardcover,English,"August 23, 2022","Farrar, Straus and Giroux",Akil Kumarasamy,5.3 X 8.3 X 1.2 inches | 0.88 pounds,Literary   Multiple Timelines   
571,At the Edge of the Woods,24.18,220,Hardcover,English,"June 06, 2023",Two Dollar Radio,Kathryn Bromwich,5.75 X 7.75 X 0.65 inches | 0.71 pounds,Thrillers - Historical   Feminist   Nature & the Environment   Horror - General   Literary   Gothic   Family Life - Marriage & Divorce   Small Town & Rural   World Literature - Italy   
572,The Future We Choose: The Stubborn Optimist's Guide to the Climate Crisis,14.88,240,Paperback,English,"April 06, 2021",Vintage,Christiana Figueres,5.1 X 7.9 X 0.8 inches | 0.5 pounds,Global Warming & Climate Change   Public Policy - Environmental Policy   Utopias   Environmental Science (see also Chemistry - Environmental)   
573,Going Infinite: The Rise and Fall of a New Tycoon,27.90,288,Hardcover,English,"October 03, 2023",W. W. Norton & Company,Michael Lewis,0.0 X 0.0 X 0.0 inches | 0.0 pounds,Bitcoin & Cryptocurrencies   Business Ethics   Investments & Securities - General   Industries - Financial Services   
574,A Little Blood and Dancing,25.11,400,Hardcover,English,"June 13, 2023",Strange Light,Tyler Parker,5.6 X 8.3 X 1.2 inches | 1.1 pounds,Literary   Crime   Humorous - Black Humor   
575,Bearwallow: A Personal History of a Mountain Homeland,16.69,288,Paperback,English,"May 25, 2021",Blair,Jeremy B Jones,5.5 X 8.4 X 1.0 inches | 0.66 pounds,"Personal Memoirs   United States - State & Local - South (AL,AR,FL,GA,KY,LA,MS,NC,SC,TN,VA,WV)   Social History   Cultural, Ethnic & Regional - General   "
576,How to Fight Anti-Semitism,14.88,224,Paperback,English,"September 07, 2021",Crown Publishing Group (NY),Bari Weiss,5.1 X 7.9 X 0.7 inches | 0.45 pounds,Civil Rights   Anthropology - Cultural & Social   Jewish Studies   Discrimination   
577,The Book of Joie Or a Thousand Singing Hamsters,18.60,324,Paperback,English,"May 25, 2023",Linda Given,Linda Given,6.0 X 9.0 X 0.73 inches | 1.05 pounds,General   
578,Homesick: Why Housing Is Unaffordable and How We Can Change It,18.59,336,Paperback,English,"September 19, 2023",Chicago Review Press,Brendan O'Brien,0.0 X 0.0 X 0.0 inches | 0.0 pounds,Real Estate - General   United States - General   Social Classes & Economic Disparity   Activism & Social Justice   Sociology - Urban   Race & Ethnic Relations   
579,Thrive: The Leader's Guide to Building a High-Performance Culture,27.89,212,Hardcover,English,"January 05, 2021",Lioncrest Publishing,Andrew Freedman,5.51 X 8.5 X 0.63 inches | 0.89 pounds,Leadership   Organizational Behavior   
580,Verity,15.80,336,Paperback,English,"October 26, 2021",Grand Central Publishing,Colleen Hoover,5.5 X 8.25 X 0.84 inches | 0.66 pounds,Romance - Contemporary   Thrillers - Suspense   Thrillers - Psychological   Romance - Suspense   Thrillers - General   
581,1984,9.29,336,Mass Market Paperbound,English,"July 01, 1950",Signet Book,George Orwell,4.1 X 7.4 X 1.0 inches | 0.46 pounds,"Classics   Literary   Psychological   Science Fiction - General   Political   Dystopian   Cultural Heritage   European - English, Irish, Scottish, Welsh   Satire   Theater - General   General   Classics   Fantasy & Magic   Social Themes - General (see also headings under Family)   World Literature - American - 20th Century   General   General   Fantasy - General   Romance - Science Fiction   Thrillers - Political   "
582,The Nightingale,16.73,608,Paperback,English,"April 25, 2017",St. Martin's Griffin,Kristin Hannah,5.4 X 8.0 X 1.6 inches | 1.2 pounds,Women   Historical - World War II   Family Life - Siblings   Literary   
583,The House of the Spirits,16.74,512,Paperback,English,"December 15, 2015",Atria Books,Isabel Allende,5.3 X 8.1 X 1.3 inches | 0.86 pounds,Literary   Historical - General   Sagas   Hispanic & Latino   Magical Realism   Cultural Heritage   
584,Foster,18.60,128,Hardcover,English,"November 01, 2022",Grove Press,Claire Keegan,5.0 X 7.4 X 0.7 inches | 0.48 pounds,Literary   Small Town & Rural   Family Life - General   Coming of Age   World Literature - England - 21st Century   
585,Their Eyes Were Watching God,16.73,272,Paperback,English,"January 01, 2006",Amistad Press,Zora Neale Hurston,5.2 X 7.9 X 0.9 inches | 0.45 pounds,Classics   Literary   African American - Women   African American - Historical   Women   Family Life - Marriage & Divorce   Cultural Heritage   Southern   Historical - General   
586,Zero Days,27.89,368,Hardcover,English,"June 20, 2023",Scout Press,Ruth Ware,6.5 X 9.1 X 1.3 inches | 1.16 pounds,Literary   Thrillers - Suspense   Thrillers - Psychological   
587,Victory City,27.90,352,Hardcover,English,"February 07, 2023",Random House,Salman Rushdie,6.6 X 9.8 X 1.2 inches | 1.3 pounds,Action & Adventure   Historical - General   Literary   Fantasy - Historical   Magical Realism   World Literature - India - General   
588,"Slaughterhouse-Five: Or the Children's Crusade, a Duty-Dance with Death",8.36,224,Mass Market Paperbound,English,"November 03, 1991",Dell,Kurt Vonnegut,4.1 X 6.8 X 0.7 inches | 0.25 pounds,Classics   Literary   Satire   War & Military   Science Fiction   Literary   
589,"Why Fish Don't Exist: A Story of Loss, Love, and the Hidden Order of Life",16.73,256,Paperback,English,"April 06, 2021",Simon & Schuster,Lulu Miller,5.25 X 8.0 X 0.7 inches | 0.45 pounds,Science & Technology   Animals - Fish   Life Sciences - Taxonomy   Personal Memoirs   Life Sciences - Zoology - Ichthyology & Herpetology   Personal Growth - General   
590,The Ferryman,27.90,560,Hardcover,English,"May 02, 2023",Ballantine Books,Justin Cronin,6.69 X 9.45 X 1.89 inches | 1.78 pounds,Science Fiction - Apocalyptic & Post-Apocalyptic   Thrillers - Suspense   Dystopian   
591,Drowning: The Rescue of Flight 1421 (a Novel),26.04,304,Hardcover,English,"May 30, 2023",Avid Reader Press / Simon & Schuster,T. J. Newman,6.4 X 9.52 X 1.14 inches | 1.04 pounds,Thrillers - Suspense   Thrillers - Terrorism   Disaster   
592,The School for Good Mothers,16.73,336,Paperback,English,"February 07, 2023",S&s/ Marysue Rucci Books,Jessamine Chan,5.4 X 7.6 X 1.1 inches | 0.5 pounds,Literary   Women   Family Life - General   Dystopian   
593,It. Goes. So. Fast.: The Year of No Do-Overs,25.10,240,Hardcover,English,"April 11, 2023",Henry Holt & Company,Mary Louise Kelly,5.65 X 8.46 X 0.88 inches | 0.71 pounds,Personal Memoirs   Parenting - General   Life Stages - General   
594,Did You Hear about Kitty Karr?,26.03,416,Hardcover,English,"May 02, 2023",Henry Holt & Company,Crystal Smith Paul,6.62 X 9.49 X 1.32 inches | 1.31 pounds,Sagas   Alternative History   African American - Women   
595,A Tree Grows in Brooklyn,17.66,493,Paperback,English,"February 01, 2005",Harper Perennial,Betty Smith,5.3 X 8.0 X 1.25 inches | 0.85 pounds,Classics   Literary   Cultural Heritage   Coming of Age   Family Life - General   World Literature - American - 20th Century   
596,Can't Spell Treason Without Tea: A Cozy Fantasy Steeped with Love,17.66,452,Paperback,English,"September 15, 2022",Rebecca Fornwalt,Rebecca Thorne,5.25 X 8.0 X 1.01 inches | 1.13 pounds,Fantasy - Romantic   LGBT - Gay   
597,Swamp Story,26.03,320,Hardcover,English,"May 02, 2023",Simon & Schuster,Dave Barry,6.0 X 9.0 X 1.4 inches | 1.0 pounds,Action & Adventure   Humorous - Black Humor   
598,Heir of Fire,17.67,592,Paperback,English,"February 14, 2023",Bloomsbury Publishing,Sarah J. Maas,5.5 X 8.2 X 1.5 inches | 1.1 pounds,Romance - General   Action & Adventure - General   Fantasy - Epic   Fantasy - Epic   Fantasy - Paranormal   Fantasy - Romantic   Romance - Fantasy   
599,Good for a Girl: A Woman Running in a Man's World,26.04,288,Hardcover,English,"January 10, 2023",Penguin Press,Lauren Fleshman,6.2 X 9.1 X 1.2 inches | 0.97 pounds,Sports   Women   Sociology of Sports   
600,The Autobiography of Malcolm X,7.43,496,Mass Market Paperbound,English,"October 12, 1987",Ballantine Books,Malcolm X,4.1 X 6.8 X 1.3 inches | 0.55 pounds,"Ethnic Studies - African American Studies   Cultural, Ethnic & Regional - General   Islam - General   Cultural, Ethnic & Regional - African American & Black   Historical   Political   Religious   Civil Rights   "
601,The Secret Service of Tea and Treason,15.81,368,Paperback,English,"April 18, 2023",Berkley Books,India Holton,5.4 X 8.1 X 1.1 inches | 0.7 pounds,Romance - Romantic Comedy   
602,The Fire Next Time,13.02,128,Paperback,English,"December 01, 1992",Vintage,James Baldwin,5.2 X 7.9 X 0.4 inches | 0.3 pounds,"Minority Studies   Cultural, Ethnic & Regional - General   Ethnic Studies - African American Studies   United States - General   Essays   Discrimination & Race Relations   "
603,When Breath Becomes Air,24.18,256,Hardcover,English,"January 12, 2016",Random House,Paul Kalanithi,5.4 X 7.5 X 1.0 inches | 0.7 pounds,Personal Memoirs   Medical (Incl. Patients)   Death & Dying   
604,Seven Days in June,15.80,352,Paperback,English,"June 07, 2022",Grand Central Publishing,Tia Williams,5.26 X 7.95 X 0.96 inches | 0.74 pounds,Women   African American - Women   Romance - African American   
605,Say Nothing: A True Story of Murder and Memory in Northern Ireland,16.74,560,Paperback,English,"February 25, 2020",Anchor Books,Patrick Radden Keefe,5.2 X 7.95 X 1.1 inches | 1.14 pounds,Europe - Great Britain - 20th Century   Europe - Ireland   Political Ideologies - Nationalism & Patriotism   Murder - General   Historical   
606,"Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity (Revised, Updated)",27.89,336,Hardcover,English,"October 01, 2019",St. Martin's Press,Kim Scott,6.4 X 9.5 X 1.1 inches | 1.18 pounds,Management - General   Human Resources & Personnel Management   Workplace Culture   Entrepreneurship   Management Science   Leadership   
607,No More Police: A Case for Abolition,17.66,400,Paperback,English,"August 30, 2022",New Press,Mariame Kaba,6.0 X 8.9 X 1.1 inches | 1.25 pounds,Law Enforcement   Discrimination & Race Relations   Violence in Society   Public Policy - Social Policy   
608,The Glass Hotel,15.81,320,Paperback,English,"February 16, 2021",Vintage,Emily St John Mandel,5.2 X 7.95 X 0.75 inches | 0.52 pounds,Literary   Mystery & Detective - Traditional   Psychological   Crime   
609,"The Best Minds: A Story of Friendship, Madness, and the Tragedy of Good Intentions",29.76,576,Hardcover,English,"April 18, 2023",Penguin Press,Jonathan Rosen,6.1 X 9.3 X 1.9 inches | 1.8 pounds,Personal Memoirs   Mental Health   Murder - General   
610,Hijab Butch Blues: A Memoir,25.11,304,Hardcover,English,"February 07, 2023",Dial Press,Lamya H,5.56 X 8.53 X 1.02 inches | 0.97 pounds,Personal Memoirs   LGBT   Essays   
611,Nothing Fancy: Unfussy Food for Having People Over,30.23,320,Hardcover,English,"October 22, 2019",Clarkson Potter Publishers,Alison Roman,8.1 X 1.0 X 10.1 inches | 2.91 pounds,Courses & Dishes - General   
612,Free Food for Millionaires,17.66,736,Paperback,English,"January 04, 2022",Grand Central Publishing,Min Jin Lee,5.3 X 7.9 X 1.4 inches | 1.2 pounds,Asian American   Coming of Age   Women   Literary   
613,Viral Justice: How We Grow the World We Want,27.85,392,Hardcover,English,"October 11, 2022",Princeton University Press,Ruha Benjamin,6.0 X 9.3 X 1.2 inches | 1.8 pounds,Political Process - Political Advocacy   Social Classes & Economic Disparity   Sociology - General   Civics & Citizenship   Civil Rights   Essays   Ethnic Studies - African American Studies   
614,Family Lore,27.90,384,Hardcover,English,"August 01, 2023",Ecco Press,Elizabeth Acevedo,6.0 X 9.0 X 1.21 inches | 1.0 pounds,Literary   Family Life - Siblings   African American - Women   Hispanic & Latino   Magical Realism   
615,Heaven Official's Blessing: Tian Guan CI Fu (Novel) Vol. 7,18.59,444,Paperback,English,"September 12, 2023",Seven Seas,Mo Xiang Tong Xiu,0.0 X 0.0 X 0.0 inches | 0.0 pounds,Fantasy - Historical   Romance - LGBT - Gay   
616,Black AF History: The Un-Whitewashed Story of America,30.23,432,Hardcover,English,"September 19, 2023",Dey Street Books,Michael Harriot,0.0 X 0.0 X 0.0 inches | 0.0 pounds,Social History   History & Theory - General   Black Studies (Global)   African American   Ethnic Studies - African American Studies   
617,House of Flame and Shadow,29.76,816,Hardcover,English,"January 30, 2024",Bloomsbury Publishing,Sarah J. Maas,6.12 X 9.25 X 1.0 inches | 1.0 pounds,Fantasy - Paranormal   Fantasy - Urban   Romance - Fantasy   
618,The Adult,25.11,320,Hardcover,English,"May 23, 2023",Algonquin Books,Bronwyn Fischer,5.8 X 8.3 X 1.1 inches | 0.85 pounds,LGBT - Lesbian   Literary   Coming of Age   
619,"The Movement Made Us: A Father, a Son, and the Legacy of a Freedom Ride",26.03,288,Hardcover,English,"May 10, 2022",Harper,David J. Dennis Jr,4.86 X 10.56 X 1.06 inches | 0.96 pounds,"Cultural, Ethnic & Regional - African American & Black   Personal Memoirs   Social Activists   "
620,Sword & Citadel: The Second Half of the Book of the New Sun,18.59,512,Paperback,English,"August 10, 2021",Tor Books,Gene Wolfe,5.28 X 8.03 X 1.5 inches | 0.97 pounds,Science Fiction - Action & Adventure   Fantasy - Epic   Literary   Fantasy - Action & Adventure   
621,Electrify: An Optimist's Playbook for Our Clean Energy Future,17.62,288,Paperback,English,"October 04, 2022",MIT Press,Saul Griffith,6.1 X 9.1 X 0.9 inches | 0.75 pounds,Public Policy - Energy Policy   Energy   Power Resources - General   
622,The Recipe: Classic Dishes for the Home Cook from the World's Best Chefs,16.72,544,Hardcover,English,"March 22, 2022",Rizzoli International Publications,Josh Emett,7.0 X 8.5 X 1.7 inches | 3.25 pounds,Courses & Dishes - General   Methods - Professional   
623,"Tomorrow Will Be Different: Love, Loss, and the Fight for Trans Equality /]csarah McBride",15.81,304,Paperback,English,"March 05, 2019",Crown Publishing Group (NY),Sarah McBride,5.1 X 7.9 X 0.7 inches | 0.5 pounds,LGBT   Social Activists   Gender Studies   
