,Name,Prices,Page,Format,Language,Pub Date,Publisher,Author,Dimensions,Categories
1577,The Poisonwood Bible,15.81,576,Paperback,English,"July 05, 2005",Harper Perennial,Barbara Kingsolver,5.2 X 8.0 X 1.2 inches | 0.85 pounds,Literary   Sagas   Family Life - General   Historical - General   
1578,What Looks Like Bravery: An Epic Journey Through Loss to Love,26.03,288,Hardcover,English,"March 14, 2023",Simon & Schuster,Laurel Braitman,6.7 X 9.6 X 1.2 inches | 0.95 pounds,"Women   Personal Memoirs   Death, Grief, Bereavement   Death, Grief, Bereavement   "
1579,Notes of a Native Son,13.95,208,Paperback,English,"November 20, 2012",Beacon Press,James Baldwin,5.5 X 8.5 X 0.6 inches | 0.6 pounds,"American - African American   American - African American   Cultural, Ethnic & Regional - General   Black Studies (Global)   "
1580,Young Mungo,25.11,400,Hardcover,English,"April 05, 2022",Grove Press,Douglas Stuart,6.4 X 9.2 X 1.6 inches | 1.3 pounds,LGBT - Gay   Literary   Coming of Age   Family Life - General   City Life   Friendship   
1581,First Generation: Recipes from My Taiwanese-American Home [A Cookbook],30.23,224,Hardcover,English,"October 25, 2022",Ten Speed Press,Frankie Gaw,8.37 X 10.24 X 0.78 inches | 2.26 pounds,Regional & Ethnic - Asian   Regional & Ethnic - Southeast Asian   
1582,Kink: Stories,16.73,288,Paperback,English,"February 09, 2021",Simon & Schuster,Garth Greenwell,5.5 X 8.3 X 0.9 inches | 0.55 pounds,Anthologies (multiple authors)   Erotica - BDSM   Literary   
1583,Deep Work: Rules for Focused Success in a Distracted World,26.04,304,Hardcover,English,"January 05, 2016",Grand Central Publishing,Cal Newport,5.8 X 8.5 X 1.0 inches | 0.9 pounds,Time Management   Personal Growth - Success   Self-Management - Time Management   Skills   
1584,"The Comfort Crisis: Embrace Discomfort to Reclaim Your Wild, Happy, Healthy Self",26.04,304,Hardcover,English,"May 11, 2021",Rodale Books,Michael Easter,6.2 X 9.2 X 1.2 inches | 1.1 pounds,Motivational & Inspirational   Special Interest - Adventure   Healthy Living   
1585,Just Like Home,25.10,352,Hardcover,English,"July 19, 2022",Tor Books,Sarah Gailey,5.4 X 8.2 X 1.3 inches | 1.0 pounds,Fantasy - Contemporary   Mystery & Detective - General   Thrillers - Supernatural   Horror - General   Occult & Supernatural   
1586,Another Country,16.74,448,Paperback,English,"December 01, 1992",Vintage,James Baldwin,5.3 X 8.0 X 0.98 inches | 0.74 pounds,Literary   Classics   African American - General   LGBT - General   
1587,I'm Not Yelling: A Black Woman's Guide to Navigating the Workplace (Successful Black Business Women),17.66,216,Paperback,English,"December 13, 2022",Mango,Elizabeth Leiba,6.0 X 8.9 X 0.7 inches | 0.55 pounds,Business Etiquette   Workplace Culture   Women in Business   Motivational   Mentoring & Coaching   Conflict Resolution & Mediation   Communication & Social Skills   Leadership   
1588,Pulp: A Practical Guide to Cooking with Fruit,32.55,432,Hardcover,English,"April 04, 2023",Chronicle Books,Abra Berens,7.7 X 10.1 X 1.6 inches | 2.9 pounds,Regional & Ethnic - American - Middle Western States   Specific Ingredients - Vegetables   
1589,"Cocktail Codex: Fundamentals, Formulas, Evolutions [A Cocktail Recipe Book]",37.20,320,Hardcover,English,"October 30, 2018",Ten Speed Press,Nick Fauchald,9.3 X 9.9 X 1.1 inches | 3.35 pounds,Beverages - Alcoholic - Bartending   Beverages - Alcoholic- General   Forensic Medicine   Entertaining - General   
1590,"The Rise and Reign of the Mammals: A New History, from the Shadow of the Dinosaurs to Us",27.89,528,Hardcover,English,"June 07, 2022",Mariner Books,Steve Brusatte,6.25 X 9.26 X 1.47 inches | 1.8 pounds,Life Sciences - Evolution   Paleontology   Fossils   Life Sciences - Human Anatomy & Physiology   Animals - Mammals   
1591,"Maid: Hard Work, Low Pay, and a Mother's Will to Survive",16.73,288,Paperback,English,"January 21, 2020",Legacy Lit,Stephanie Land,5.5 X 8.2 X 0.7 inches | 0.56 pounds,Women   Poverty & Homelessness   Social Classes & Economic Disparity   Social Activists   Survival   Labor & Industrial Relations   Public Policy - Social Services & Welfare   Public Policy - Social Policy   
1592,Leviathan Falls,17.66,560,Paperback,English,"February 07, 2023",Orbit,James S. A. Corey,5.61 X 9.58 X 1.48 inches | 1.28 pounds,Science Fiction - Space Opera   Science Fiction - Action & Adventure   Science Fiction - Alien Contact   Science Fiction - Space Exploration   
1593,Commitment,27.90,416,Hardcover,English,"March 21, 2023",Knopf Publishing Group,Mona Simpson,6.7 X 9.4 X 1.5 inches | 1.65 pounds,Psychological   Coming of Age   Family Life - Siblings   
1594,The Chinese Groove,25.11,304,Hardcover,English,"January 24, 2023",Counterpoint LLC,Kathryn Ma,6.3 X 9.1 X 1.2 inches | 1.23 pounds,Family Life - General   Cultural Heritage   Asian American   
